pID,name,birthYear,deathYear,profession
nm0000124,Jennifer Connelly,1970,\N,actress
nm0000128,Russell Crowe,1964,\N,actor
nm0000285,Alec Baldwin,1958,\N,actor
nm0000353,Willem Dafoe,1955,\N,actor
nm0000709,Robert Zemeckis,1951,\N,producer
nm0001570,Edward Norton,1969,\N,actor
nm0001595,Michael Paré,1958,\N,actor
nm0001599,Will Patton,1954,\N,actor
nm0001674,Chris Rock,1965,\N,producer
nm0001675,Robert Rodriguez,1968,\N,producer
nm0001804,Stanley Tucci,1960,\N,actor
nm0004266,Anne Hathaway,1982,\N,actress
nm0004825,Emmanuelle Chriqui,1975,\N,actress
nm0033152,Arata Iura,1974,\N,actor
nm0041247,Stephen Au,1963,\N,actor
nm0051394,David Bamber,1954,\N,actor
nm0066016,Michael Bederman,\N,\N,producer
nm0088935,Sebastian Blomberg,1972,\N,actor
nm0089710,Steve Blum,1960,\N,actor
nm0097517,Derrick Borte,1967,\N,director
nm0123069,Jeff Burrell,1968,\N,actor
nm0178404,Susan Cooper,\N,\N,producer
nm0244740,Deborah Dutch,1951,\N,actress
nm0255353,Lisa Ellzey,\N,\N,producer
nm0348151,Andrew Gunn,1969,\N,producer
nm0357405,Donna Hamblin,\N,\N,actress
nm0447785,Ella Kenion,1969,\N,actress
nm0471097,Brad Krevoy,\N,\N,producer
nm0484457,Jon Landau,1960,\N,producer
nm0485895,Robert Lang,\N,\N,producer
nm0559637,Shûsaku Matsuoka,1966,\N,producer
nm0585958,Bill Migliore,1970,\N,producer
nm0593618,Monika Mitchell,\N,\N,director
nm0620378,Hideo Nakata,1961,\N,director
nm0624178,Lisa Neeld,\N,\N,actress
nm0624383,Toshie Negishi,1954,\N,actress
nm0648762,Machiko Ono,1981,\N,actress
nm0657145,Maria Pakulnis,1956,\N,actress
nm0698133,Gigi Pritzker,\N,\N,producer
nm0737533,Elisabeth Röhm,1973,\N,actress
nm0755911,Peter Safran,1965,\N,producer
nm0793997,Tetsuo Shinohara,1962,\N,director
nm0801051,Jimmi Simpson,1975,\N,actor
nm0818055,Octavia Spencer,1972,\N,actress
nm0826541,Kriv Stenders,\N,\N,director
nm0835016,Mark Strong,1963,\N,actor
nm0843851,Krzysztof Plewako-Szczerbinski,\N,\N,actor
nm0851452,Paul Taublieb,\N,\N,producer
nm0945724,Takashi Yamazaki,1964,\N,director
nm0950742,Louis Siu Cheung Yuen,\N,\N,actor
nm0991810,Mahershala Ali,1974,\N,actor
nm0994379,Tosca Musk,\N,\N,producer
nm0999118,Michael Sinterniklaas,1972,\N,actor
nm10043983,Angelica Adams,\N,\N,actress
nm10131196,Evan Eckenrode,\N,\N,actor
nm10330869,Jumana Zahid,\N,\N,producer
nm10355059,Bre'Ana Nix,\N,\N,actor
nm10561853,Abdulaziz Alshlahei,\N,\N,director
nm10561854,Abdullah Alzaid,\N,\N,actor
nm10569393,Sally Blake,\N,\N,director
nm10571309,Yuen Kin To,\N,\N,director
nm10571310,Matthew Chow,\N,\N,director
nm10573938,Mike Majlak,\N,\N,actor
nm10573939,Casey Boonstra,\N,\N,actress
nm10573940,Casey Costelloe,\N,\N,actress
nm10573941,Kong Da Savage,\N,\N,actor
nm10573942,Dani Strobel,\N,\N,actor
nm10581038,Wayne Frisbee,\N,\N,producer
nm11306596,Saul Mejia,\N,\N,producer
nm11363237,Pasu Wai-Tak Leung,\N,\N,actor
nm1157048,Zachary Levi,1980,\N,actor
nm1157364,Yuri Nakamura,1982,\N,actress
nm11646466,Malia Mann,\N,\N,actress
nm11714610,Monte Kai-Him Cho,\N,\N,actor
nm1211088,Toe Yuen,\N,\N,director
nm1227814,Vanessa Hudgens,1988,\N,actress
nm1247584,Mark Gill,\N,\N,producer
nm1247594,Rachel Shane,\N,\N,producer
nm1250851,Marcus Calvin,1965,\N,actor
nm1290447,Vida Ghaffari,\N,\N,actress
nm1315809,Stephanie Sheh,1977,\N,actress
nm1319884,Andrew Prendergast,\N,\N,producer
nm1339419,Wojciech Machnicki,1953,\N,actor
nm1363725,Len Kabasinski,\N,\N,actor
nm1391169,Matthew Pope,\N,\N,director
nm1532744,Ben Pugh,\N,\N,producer
nm1542397,Alexander England,\N,\N,actor
nm1655689,Noriko Eguchi,1980,\N,actress
nm1670574,Takuma Otoo,1976,\N,actor
nm1689177,Fahri Yardim,1980,\N,actor
nm1738067,Wojciech Chorazy,1973,\N,actor
nm1813221,Gugu Mbatha-Raw,1983,\N,actress
nm1847621,D.T. Carney,\N,\N,actor
nm1885802,Akiyoshi Nakao,\N,\N,actor
nm1996339,Clare Tucker,\N,\N,producer
nm2050746,Emma Rigby,1989,\N,actress
nm2267950,Luke Kelly,1986,\N,producer
nm2300127,Lauren Compton,\N,\N,actress
nm2327512,George Tutie,\N,\N,actor
nm2497546,David F. Sandberg,1981,\N,director
nm2527406,Aaron Glenane,\N,\N,actor
nm2541767,Celia Au,\N,\N,actress
nm2583240,Chris Mollica,\N,\N,actor
nm2649703,Peppermint,\N,\N,actress
nm2684348,Amy Chang,\N,\N,actress
nm2766218,Julie Anne Prescott,1983,\N,actress
nm2907513,Rachel Allinson,\N,\N,actress
nm3059805,Nicholas Zeig-Owens,\N,\N,director
nm3065061,Takumi Kitamura,\N,\N,actor
nm3148014,Dawna Lee Heising,1953,\N,actress
nm3163561,Rene Perez,\N,\N,director
nm3262317,Josh Whitehouse,\N,\N,actor
nm3308569,Caren Pistorius,\N,\N,actress
nm3373278,Franziska Brandmeier,\N,\N,actress
nm3409817,Shaun Conde,\N,\N,actor
nm3430436,David C. Snyder,\N,\N,director
nm3485108,Ludi Lin,\N,\N,actor
nm3643047,Brett Brandle,\N,\N,producer
nm3670911,Curtis Elerson,\N,\N,producer
nm3807784,Emil Nava,1985,\N,director
nm3815162,Yi Liu,\N,\N,actress
nm3855034,Amir Hamz,\N,\N,producer
nm3869592,Bethany Anne Lind,\N,\N,actress
nm3877188,Yûdai Chiba,1989,\N,actor
nm3983060,Vivien Wai-Wan Lau,\N,\N,actress
nm4023073,Rosa Salazar,1985,\N,actress
nm4134328,Kasumi Arimura,1993,\N,actress
nm4341114,Dustin Ferguson,1982,\N,director
nm4398223,Alexander Cantrell,\N,\N,actor
nm4755508,Asher Angel,\N,\N,actor
nm4774141,Mitch Covington,\N,\N,producer
nm4907463,Frederick Williams,\N,\N,actor
nm4928971,Pam Miller,\N,\N,producer
nm5011663,Tina Hobbs,\N,\N,producer
nm5111727,Wayne Lin,\N,\N,director
nm5145655,Gabriel Bateman,\N,\N,actor
nm5372118,Chandler Rosenthal,\N,\N,actress
nm5606910,LaToy Fowler,\N,\N,actress
nm5795819,Jahking Guillory,\N,\N,actor
nm5862496,Mai Shiraishi,\N,\N,actress
nm5927152,Osamah Salih,\N,\N,actor
nm6244013,Jack Dylan Grazer,2003,\N,actor
nm6414284,Karin Brauns,\N,\N,actress
nm6687261,Ximan Li,\N,\N,director
nm6792667,Shawna Brandle,\N,\N,producer
nm6794346,Mike Karban,\N,\N,actor
nm6954008,Ryô Narita,1993,\N,actor
nm6982686,Logan Paul,\N,\N,actor
nm7182128,Demond Ballou,\N,\N,actor
nm7242611,Mio Imada,\N,\N,actress
nm7253844,Ronnie D. Lee,\N,\N,producer
nm7534845,Amy James,\N,\N,producer
nm7535044,Khalid Al-Saqer,\N,\N,actor
nm7545569,Ken Kai-Cheong Wong,\N,\N,actor
nm7556970,Sally Blake,\N,\N,producer
nm7573616,Kimberly Landry,\N,\N,producer
nm7908135,Jared Ivers,\N,\N,actor
nm8099914,Ken May,\N,\N,actor
nm8279086,Mike Ferguson,\N,\N,actor
nm8424341,Martyn Gretton,\N,\N,producer
nm8459909,Robert Bronzi,\N,\N,actor
nm8525786,Dizzy Fae,\N,\N,actress
nm8699819,David Silver,\N,\N,producer
nm8761643,Aaron Bratcher,1996,\N,producer
nm9044070,Bubba Ali,\N,\N,actor
nm9193601,John Walker,\N,\N,actor
nm9263047,Yaaqoub Al Farhan,\N,\N,actor
nm9467788,Judah Lang,\N,\N,actor
nm9559142,Alex Schmider,\N,\N,producer
nm9624586,Frank Failla,\N,\N,actor
nm9826817,Toby Blome,\N,\N,actor
nm0000080,Orson Welles,1915,1985,actor
nm0000112,Pierce Brosnan,1953,\N,actor
nm0000123,George Clooney,1961,\N,actor
nm0000146,Ralph Fiennes,1962,\N,actor
nm0000217,Martin Scorsese,1942,\N,producer
nm0000295,Kate Beckinsale,1973,\N,actress
nm0000352,Vincent D'Onofrio,1959,\N,actor
nm0000496,Juliette Lewis,1973,\N,actress
nm0000513,William H. Macy,1950,\N,actor
nm0000553,Liam Neeson,1952,\N,actor
nm0000705,Robin Wright,1966,\N,actress
nm0000953,Peter Bogdanovich,1939,\N,actor
nm0000982,Josh Brolin,1968,\N,actor
nm0001053,Ethan Coen,1957,\N,producer
nm0001054,Joel Coen,1954,\N,producer
nm0001379,John Huston,1906,1987,actor
nm0001598,Robert Patrick,1958,\N,actor
nm0001782,Susan Strasberg,1938,1999,actress
nm0002907,Alexander Skarsgård,1976,\N,actor
nm0004936,Ben Foster,1980,\N,actor
nm0005544,Harvey Weinstein,1952,\N,producer
nm0038355,Tadanobu Asano,1973,\N,actor
nm0057655,David Barron,1954,\N,producer
nm0074100,Albert Berger,\N,\N,producer
nm0079677,Tim Bevan,1957,\N,producer
nm0147603,Vittorio Cecchi Gori,1942,\N,producer
nm0149491,Justin Chadwick,1968,\N,director
nm0151540,Jay Chandrasekhar,1968,\N,director
nm0205063,Lucy Davis,1973,\N,actress
nm0206257,Rosario Dawson,1979,\N,actress
nm0208381,Barbara De Fina,\N,\N,producer
nm0256542,Randall Emmett,1971,\N,producer
nm0271479,Eric Fellner,1959,\N,producer
nm0292647,Rachel Winter,\N,\N,producer
nm0301959,Johnny Galecki,1975,\N,actor
nm0308672,Alex Gartner,\N,\N,producer
nm0310887,Gill Gayle,\N,\N,actor
nm0334441,Holliday Grainger,1988,\N,actress
nm0354508,Mitra Hajjar,1977,\N,actress
nm0373571,Kevin Heffernan,1968,\N,actor
nm0419169,Jon Jashni,\N,\N,producer
nm0420941,Patty Jenkins,1971,\N,director
nm0430107,Michael B. Jordan,1987,\N,actor
nm0441654,Cindy Katz,\N,\N,actress
nm0446622,Machine Gun Kelly,1990,\N,actor
nm0462648,Oja Kodar,1941,\N,actress
nm0501399,Steve Lemme,1968,\N,actor
nm0525059,Tony Ludwig,\N,\N,producer
nm0531827,Laurie MacDonald,1953,\N,producer
nm0550881,Frank Marshall,1946,\N,producer
nm0607185,Jennifer Morrison,1979,\N,actress
nm0633223,Cynthia Nixon,1966,\N,actress
nm0645164,Michael Ohoven,1974,\N,producer
nm0654077,Alison Owen,1961,\N,producer
nm0659123,Andrew Panay,\N,\N,producer
nm0671567,Michael Peña,1976,\N,actor
nm0673270,Richard Perello,\N,\N,producer
nm0741378,Felissa Rose,1969,\N,actress
nm0746273,Charles Roven,1949,\N,producer
nm0788335,Michael Shannon,1974,\N,actor
nm0791898,Tiffany Shepis,1979,\N,actress
nm0853204,Steve Taylor,\N,\N,producer
nm0871860,Jeff Tremaine,\N,\N,producer
nm0910607,Christoph Waltz,1956,\N,actor
nm0946734,David Yates,1963,\N,director
nm0947695,Ron Yerxa,1947,\N,producer
nm1002641,Dominic Cooper,1978,\N,actor
nm1009277,Dax Shepard,1975,\N,actor
nm1023919,Ramin Bahrani,1975,\N,producer
nm1025139,Alex Roe,1990,\N,actor
nm10544341,Vanessa Becerra,\N,\N,actress
nm10544344,Claudin Chapa,\N,\N,actor
nm10551664,Sagirah Weidman,\N,\N,actress
nm10551665,Anthony Brady,\N,\N,actor
nm1092088,Kent Harper,\N,\N,producer
nm1237607,Mary Dunleavy,\N,\N,actress
nm1279573,F. Javier Gutiérrez,1973,\N,director
nm1379938,Travis Fimmel,1979,\N,actor
nm1475059,Filip Jan Rymsza,1977,\N,producer
nm1512910,Duncan Jones,1971,\N,director
nm1517976,Chris Pine,1980,\N,actor
nm1568035,Stuart Fenegan,\N,\N,producer
nm1641117,Alex Pettyfer,1990,\N,actor
nm1745736,Paula Patton,1975,\N,actress
nm1837667,Wade Sullivan,\N,\N,actor
nm1867990,Cynthia Calvert,\N,\N,producer
nm1925239,Jack O'Connell,1990,\N,actor
nm1939267,T.I.,1980,\N,actor
nm1940449,Andrew Garfield,1983,\N,actor
nm1973933,Adam Pitman,\N,\N,producer
nm1989536,Marc Webb,1974,\N,producer
nm2120456,Arash Aasefi,\N,\N,actor
nm2149083,Dan Keston,\N,\N,producer
nm2202341,David Blair,\N,\N,producer
nm2210323,Aaron Davis,\N,\N,actor
nm2368916,Nathaniel Peterson,\N,\N,actor
nm2403277,Alden Ehrenreich,1989,\N,actor
nm2443758,Nicola Peltz,1995,\N,actress
nm2502689,Brad Dalton,\N,\N,director
nm2539953,Alicia Vikander,1988,\N,actress
nm2652716,Grant Gustin,1990,\N,actor
nm2851530,Dane DeHaan,1986,\N,actor
nm2933757,Gal Gadot,1985,\N,actress
nm3150488,Douglas Booth,1992,\N,actor
nm3206486,Daniel Webber,\N,\N,actor
nm3449616,J.T. Boone,\N,\N,producer
nm3485845,Adam Driver,1983,\N,actor
nm3538718,Nick Robinson,1995,\N,actor
nm3701064,Iwan Rheon,1985,\N,actor
nm4360085,Callum Turner,\N,\N,actor
nm4436761,Matilda Anna Ingrid Lutz,\N,\N,actress
nm4731243,Hossein Heshmatian,\N,\N,actor
nm4920741,Rory J. Saper,1996,\N,actor
nm7199109,Karin Mushegain,\N,\N,actor
nm7222287,Christian Stevens,\N,\N,actor
nm8289101,Hellene Alabi-Williams,\N,\N,director
nm8575371,Craig Robinson,\N,\N,producer
nm8580524,Ashley Mansour,\N,\N,producer
nm9041452,Neils Williams,\N,\N,actor
